cancer_type,n_mut.SNP_in,n_mut.SNP_out,maf_targeted_seq,SBS1,SBS2,SBS5,SBS7a,SBS7d,SBS8,SBS12,SBS13,SBS16,SBS17a,SBS17b,SBS19,SBS20,SBS21,SBS22,SBS30
Lung.Cancer,22907,3189,3.22E-02,0,40,29,0,0,0,0,21,0,0,0,0,0,0,0,35
Lung.Cancer,22190,3156,NA,0,0,0,0,0,0,0,26,0,24,0,0,0,25,0,0
Lung.Cancer,29320,4170,NA,303,33,460,0,0,0,523,0,0,6,0,49,0,0,9,390
Lung.Cancer,24297,3367,NA,56,58,0,0,0,0,12,18,32,0,16,0,0,84,8,0
Lung.Cancer,27694,3859,1.10E-03,201,71,286,0,101,0,121,24,0,0,3,43,0,16,1,308
Lung.Cancer,24892,3183,NA,59,60,272,0,22,19,0,4,0,14,2,124,0,0,6,44
Lung.Cancer,29091,4282,NA,364,80,719,0,0,0,303,11,9,0,14,145,97,0,58,174
Lung.Cancer,32283,4516,NA,443,80,430,0,0,0,35,41,1,12,9,104,0,142,0,299
Lung.Cancer,26313,3514,3.20E-03,129,16,0,0,0,0,0,30,72,22,0,0,5,23,57,53
Lung.Cancer,25303,3535,1.33E-02,135,60,363,0,38,0,230,16,0,62,0,57,0,2,0,43
Lung.Cancer,27823,4102,NA,182,76,0,45,0,31,354,36,0,10,14,4,42,0,0,277
Pancreatic.Cancer,26662,4013,NA,12,52,0,0,28,208,0,0,45,0,20,0,0,22,2,0
Pancreatic.Cancer,23307,3466,NA,0,0,0,0,37,9,0,0,0,0,4,0,66,0,0,0
Pancreatic.Cancer,22273,3366,NA,0,40,0,0,0,113,0,0,0,12,7,18,0,5,10,5
Pancreatic.Cancer,21065,3128,NA,0,0,0,0,0,0,0,4,0,15,0,18,36,2,0,0
Pancreatic.Cancer,19405,3261,NA,0,0,0,0,131,0,0,0,0,0,2,0,0,0,0,0
Pancreatic.Cancer,21579,3342,NA,22,0,0,0,0,42,0,28,0,0,2,0,0,47,0,0
Pancreatic.Cancer,21978,3381,NA,0,43,0,0,0,84,0,0,0,15,14,0,24,0,0,0
Pancreatic.Cancer,22061,3448,NA,0,11,0,0,0,0,0,0,0,4,5,0,3,0,0,0
Pancreatic.Cancer,23257,3583,NA,72,0,0,0,37,0,0,10,0,59,5,110,26,66,0,0
Pancreatic.Cancer,20949,3105,NA,0,0,0,0,0,14,0,7,0,0,12,0,0,0,0,0
